ID,partita,punti,stagione,campo,campionato
9782,Paganella Basket - Gardolo,NULL,2018/2019,PALAVIS,Promozione
9783,Gardolo - Paganella Basket,NULL,2018/2019,Centro Sportivo Trento Nord,Promozione
9784,Cus Trento 80 - Bc Gardolo 90,"a:2:{i:6661;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""90"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,PALESTRA SANBAPOLIS,Serie D
9785,Bc Gardolo 67 - Cus Trento 61,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6661;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
9786,Cus Trento - Gardolo,NULL,2018/2019,PALESTRA SANBAPOLIS,Serie D
9790,Cus Trento 87 - Bc Gardolo 64,"a:2:{i:6661;a:2:{s:6:""points"";s:2:""87"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,PALESTRA SANBAPOLIS,Serie D
9815,,NULL,NULL,NULL,NULL
9887,Piani Junior 80 - Bc Gardolo 62,"a:2:{i:5786;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,PALAMAZZALI,Serie D
10280,Bc Gardolo 70 - Bk Pool Piani Junior U20 50,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:10281;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,Centro Sportivo Trento Nord,"Coppa Trentino,Coppa Trentino Serie D"
10283,Bc Gardolo 76 - Psg Villafranca 63,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6663;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,Centro Sportivo Trento Nord,Coppa Trentino
10284,Europa Bolzano 54 - Bc Gardolo 89,"a:2:{i:3365;a:2:{s:6:""points"";s:2:""54"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""89"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2019/2020,SC. MEDIA ADA NEGRI,Coppa Trentino
10286,Bc Gardolo Promo 39 - Bc Gardolo 69,"a:2:{i:10285;a:2:{s:6:""points"";s:2:""39"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2019/2020,Centro Sportivo Trento Nord,Coppa Trentino
10287,Bc Gardolo Promo 56 - Europa Bolzano 67,"a:2:{i:10285;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3365;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2019/2020,Centro Sportivo Trento Nord,Coppa Trentino
10288,Bk Pool Piani Junior U20 vs Bc Gardolo Promo,"a:2:{i:10281;a:2:{s:6:""points"";s:2:""94"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:10285;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,PALAMAZZALI,Coppa Trentino
10289,Psg Villafranca vs Bc Gardolo Promo,a:0:{},2019/2020,PALESTRA ISTITUTO CARLO ANTI,Coppa Trentino
10460,Gardolo - Virtus Altogarda A,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
10462,Europa Bolzano 58 - Franceschi Eurocar Gardolo 91,"a:2:{i:3365;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:10461;a:2:{s:6:""points"";s:2:""91"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2019/2020,SC. MEDIA ADA NEGRI,Serie D
10464,Cus Trento - Gardolo,NULL,2018/2019,PALESTRA SANBAPOLIS,Serie D
10467,Bc Gardolo vs Psg Villafranca,"a:2:{i:5763;a:1:{s:6:""points"";s:0:"""";}i:6663;a:1:{s:6:""points"";s:0:"""";}}",2019/2020,PALESTRA SANBAPOLIS,Coppa Trentino Serie D
10468,Bc Gardolo 59 - Virtus Alto Garda 77,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:8323;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2019/2020,PALESTRA SANBAPOLIS,Coppa Trentino Serie D
10547,Gardolo - Europa Bolzano,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10551,Virtus Altogarda - Gardolo,NULL,2019/2020,Pal. 'E. Impera',Under 16
10552,Gardolo - Maia Merano,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10554,Valle Di Cavedine Basket - Gardolo,NULL,2019/2020,Palestra Bellesini,Under 16
10556,Gardolo - Bk Pool Olimpia Bolzano,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10557,Pall. Villazzano - Gardolo,NULL,2019/2020,PALESTRA S.M. PASCOLI,Under 16
10558,Gardolo - Basket Pergine,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10559,Charly Merano - Gardolo,NULL,2019/2020,Palestra ¿Segantini¿,Under 16
10560,Gardolo - Apecheronza Avio,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10561,Junior Bk Rovereto - Gardolo,NULL,2019/2020,SCUOLA M. ¿D. CHIESA¿,Under 16
10562,Gardolo - Us Brunico,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10563,Europa Bolzano - Gardolo,NULL,2019/2020,SC. MEDIA ADA NEGRI,Under 16
10564,Gardolo - Virtus Altogarda,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10565,Maia Merano - Gardolo,NULL,2019/2020,Palestra ¿Segantini¿,Under 16
10566,Gardolo - Valle Di Cavedine Basket,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10567,Bk Pool Olimpia Bolzano - Gardolo,NULL,2019/2020,Pal. Scuola Media ¿E. Fermi¿,Under 16
10568,Gardolo - Pall. Villazzano,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10569,Basket Pergine - Gardolo,NULL,2019/2020,Palestra ''Garbari'',Under 16
10570,Gardolo - Charly Merano,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10571,Apecheronza Avio - Gardolo,NULL,2019/2020,PALESTRA SCUOLA MEDIA D. ALIGH,Under 16
10572,Gardolo - Junior Bk Rovereto,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10573,Us Brunico - Gardolo,NULL,2019/2020,Handelsoberschuele,Under 16
10574,Junior Bk Rovereto - Gardolo A,NULL,2019/2020,SCUOLA M. ¿D. CHIESA¿,Under 18
10578,Basket Pergine - Gardolo B,NULL,2019/2020,Palestra ''Garbari'',Under 18
10581,Gardolo A - Pall. Villazzano A,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10582,Maia Merano - Gardolo A,NULL,2019/2020,Palestra ¿Segantini¿,Under 18
10584,Bk Pool Piani Junior - Gardolo B,NULL,2019/2020,Pal. Scuola Media ¿E. Fermi¿,Under 18
10585,Gardolo B - Europa Bolzano,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10586,Europa Bolzano - Gardolo A,NULL,2019/2020,SC. MEDIA ADA NEGRI,Under 18
10587,Junior Bk Rovereto - Gardolo B,NULL,2019/2020,SCUOLA M. ¿D. CHIESA¿,Under 18
10588,Gardolo B - Gardolo A,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10589,Gardolo A - Pall. Villazzano B,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10590,Pall. Villazzano A - Gardolo B,NULL,2019/2020,PALESTRA S.M. PASCOLI,Under 18
10591,Basket Pergine - Gardolo A,NULL,2019/2020,Palestra ''Garbari'',Under 18
10592,Gardolo B - Pall. Villazzano B,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10593,Maia Merano - Gardolo B,NULL,2019/2020,Palestra ¿Segantini¿,Under 18
10594,Gardolo A - Bk Pool Piani Junior,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10595,Gardolo A - Junior Bk Rovereto,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10596,Gardolo B - Basket Pergine,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10597,Pall. Villazzano A - Gardolo A,NULL,2019/2020,PALESTRA S.M. PASCOLI,Under 18
10598,Gardolo A - Maia Merano,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10599,Gardolo B - Bk Pool Piani Junior,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10600,Europa Bolzano - Gardolo B,NULL,2019/2020,SC. MEDIA ADA NEGRI,Under 18
10601,Gardolo A - Europa Bolzano,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10602,Gardolo B - Junior Bk Rovereto,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10603,Bc Gardolo A 120 - Bc Gardolo B 43,"a:2:{i:8353;a:2:{s:6:""points"";s:3:""120"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:8358;a:2:{s:6:""points"";s:2:""43"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,Centro Sportivo Trento Nord,Under 18
10604,Pall. Villazzano B - Gardolo A,NULL,2019/2020,PALESTRA S.M. PASCOLI,Under 18
10605,Gardolo B - Pall. Villazzano A,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10606,Gardolo A - Basket Pergine,NULL,2019/2020,Centro Sportivo Trento Nord,Under 18
10607,Pall. Villazzano B - Gardolo B,NULL,2019/2020,PALESTRA S.M. PASCOLI,Under 18
10608,Bk Pool Piani Junior - Gardolo A,NULL,2019/2020,Pal. Scuola Media ¿E. Fermi¿,Under 18
10609,Ssv Brixen - Gardolo,NULL,2019/2020,PALAZZETTO ROSSLAUF,Promozione
10610,Gardolo - Pall. Villazzano,NULL,2019/2020,Centro Sportivo Trento Nord,Promozione
10611,Maia Merano - Gardolo,NULL,2019/2020,Palestra ¿Segantini¿,Promozione
10612,Gardolo - Blue Bear Villazzano A,NULL,2019/2020,Centro Sportivo Trento Nord,Promozione
10613,Virtus Altogarda - Gardolo,NULL,2019/2020,SC. ELEM. PERNICI,Promozione
10614,Junior Bk Rovereto - Gardolo,NULL,2019/2020,Palestra Liceo Filzi,Promozione
10616,Night Owls Trento A - Gardolo,NULL,2019/2020,PalaBocchi,Promozione
10617,Gardolo - Apecheronza Avio,NULL,2019/2020,Centro Sportivo Trento Nord,Promozione
10618,Gardolo - Ssv Brixen,NULL,2019/2020,Centro Sportivo Trento Nord,Promozione
10619,Pall. Villazzano - Gardolo,NULL,2019/2020,PALESTRA S.M. PASCOLI,Promozione
10621,Blue Bear Villazzano A - Gardolo,NULL,2019/2020,PalaBocchi,Promozione
10622,Gardolo - Virtus Altogarda,NULL,2019/2020,Centro Sportivo Trento Nord,Promozione
10623,Gardolo - Junior Bk Rovereto,NULL,2019/2020,Centro Sportivo Trento Nord,Promozione
10624,Gardolo - Night Owls Trento A,NULL,2019/2020,Centro Sportivo Trento Nord,Promozione
10625,Apecheronza Avio - Gardolo,NULL,2019/2020,PALESTRA SCUOLA MEDIA D. ALIGH,Promozione
10627,Franceschi Eurocar Gardolo - Gardascuola Virtus Altogarda,NULL,2019/2020,Centro Sportivo Trento Nord,Serie D
10628,Cus Trento - Franceschi Eurocar Gardolo,NULL,2019/2020,PALESTRA SANBAPOLIS,Serie D
10629,Franceschi Eurocar Gardolo - Psg Villafranca,NULL,2019/2020,Centro Sportivo Trento Nord,Serie D
10631,Tecnisan Gs Riva 2018 - Franceschi Eurocar Gardolo,NULL,2019/2020,PAL. I.T.C.G ¿ FLORIANI¿,Serie D
10632,Basket Pergine - Franceschi Eurocar Gardolo,NULL,2019/2020,Palestra ''Garbari'',Serie D
10633,Franceschi Eurocar Gardolo 84 - Bk Pool Piani Junior U20 71,"a:2:{i:10461;a:2:{s:6:""points"";s:2:""84"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:10281;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,Centro Sportivo Trento Nord,Serie D
10634,Crcsd Paganella 51 - Franceschi Eurocar Gardolo 64,"a:2:{i:5781;a:2:{s:6:""points"";s:2:""51"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:10461;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2019/2020,PALAVIS,Serie D
10635,Franceschi Eurocar Gardolo 77 - Junior Bk Rovereto 69,"a:2:{i:10461;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6747;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,Centro Sportivo Trento Nord,Serie D
10636,Pergine Audace 57 - Franceschi Eurocar Gardolo 75,"a:2:{i:5789;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:10461;a:2:{s:6:""points"";s:2:""75"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2019/2020,Palestra ''Garbari'',Serie D
10637,Franceschi Eurocar Gardolo - Europa Bolzano,"a:2:{i:10461;a:1:{s:6:""points"";s:0:"""";}i:3365;a:1:{s:6:""points"";s:0:"""";}}",2019/2020,Centro Sportivo Trento Nord,Serie D
10638,Gardascuola Virtus Altogarda 68 - Franceschi Eurocar Gardolo 67,"a:2:{i:10626;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:10461;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,Pal. 'E. Impera',Serie D
10640,Psg Villafranca 73 - Franceschi Eurocar Gardolo 77,"a:2:{i:6663;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:10461;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2019/2020,PALESTRA ISTITUTO CARLO ANTI,Serie D
10641,Franceschi Eurocar Gardolo - Tecnisan Gs Riva 2018,NULL,2019/2020,Centro Sportivo Trento Nord,Serie D
10642,Franceschi Eurocar Gardolo 81 - Basket Pergine 77,"a:2:{i:10461;a:2:{s:6:""points"";s:2:""81"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5776;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,Centro Sportivo Trento Nord,Serie D
10643,Bk Pool Piani Junior U20 64 - Franceschi Eurocar Gardolo 69,"a:2:{i:10281;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:10461;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2019/2020,PALAMAZZALI,Serie D
10644,Franceschi Eurocar Gardolo - Crcsd Paganella,"a:2:{i:10461;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5781;a:2:{s:6:""points"";s:2:""49"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,Centro Sportivo Trento Nord,Serie D
10645,Junior Bk Rovereto 66 - Franceschi Eurocar Gardolo 72,"a:2:{i:6747;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:10461;a:2:{s:6:""points"";s:2:""72"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2019/2020,SCUOLA M. ¿D. CHIESA¿,Serie D
10646,Franceschi Eurocar Gardolo 84 - Pergine Audace 64,"a:2:{i:10461;a:2:{s:6:""points"";s:2:""84"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5789;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,Centro Sportivo Trento Nord,Serie D
10836,Gardolo - Valle Di Cavedine Basket,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10837,Gardolo B - Europa Bolzano,NULL,2019/2020,c.s. la vela palestra,Under 18
10838,Gardolo - Maia Merano,NULL,2019/2020,Centro Sportivo Trento Nord,Promozione
10839,Franceschi Eurocar Gardolo - Europa Bolzano,NULL,2019/2020,Centro Sportivo Trento Nord,Serie D
10840,Franceschi Eurocar Gardolo 98 - Cus Trento 64,"a:2:{i:10461;a:2:{s:6:""points"";s:2:""98"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6661;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,Centro Sportivo Trento Nord,Serie D
10841,Tecnisan Gs Riva 2018 63 - Franceschi Eurocar Gardolo 56,"a:2:{i:10630;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:10461;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2019/2020,PAL. I.T.C.G ¿ FLORIANI¿,Serie D
10892,Gardolo - Apecheronza Avio,NULL,2019/2020,Centro Sportivo Trento Nord,Under 16
10893,Maia Merano - Gardolo B,NULL,2019/2020,Palestra ¿Segantini¿,Under 18
10894,Gardolo - Maia Merano,NULL,2019/2020,Centro Sportivo Trento Nord,Promozione
